SL.,Station,Year,Month,Date,Temperature (maximum),Temperature(minimum),Temperature(Average),Rainfall(mm),Humidity(percentage)
318,Sylhet (10705),1996,6,1/6/1996,31.49,24.32,27.905,518,86.1
319,Sylhet (10705),1996,7,1/7/1996,30.9,25.07,27.985,745,90.71
320,Sylhet (10705),1996,8,1/8/1996,31.36,25.05,28.205,744,88.71
321,Sylhet (10705),1996,9,1/9/1996,33.03,25.27,29.15,382,84.3
322,Sylhet (10705),1996,10,1/10/1996,31.27,22.6,26.935,281,83.42
323,Sylhet (10705),1996,11,1/11/1996,29.57,18.75,24.16,0,77.67
324,Sylhet (10705),1996,12,1/12/1996,27.76,14.79,21.275,0,74.52
325,Sylhet (10705),1997,1,1/1/1997,29.78,13.1,21.44,1,88.84
326,Sylhet (10705),1997,2,1/2/1997,25.83,13.89,19.86,27,73.04
327,Sylhet (10705),1997,3,1/3/1997,31.35,18.95,25.15,111,69.94
328,Sylhet (10705),1997,4,1/4/1997,30.35,19.5,24.925,170,74.27
329,Sylhet (10705),1997,5,1/5/1997,32.11,22.42,27.265,347,80.13
330,Sylhet (10705),1997,6,1/6/1997,30.99,23.76,27.375,796,88.3
331,Sylhet (10705),1997,7,1/7/1997,31.78,25.44,28.61,681,88.81
332,Sylhet (10705),1997,8,1/8/1997,32.58,25.54,29.06,486,85.52
333,Sylhet (10705),1997,9,1/9/1997,30.04,23.82,26.93,946,89.53
334,Sylhet (10705),1997,10,1/10/1997,31.73,21.72,26.725,31,80.1
335,Sylhet (10705),1997,11,1/11/1997,29.95,18.94,24.445,23,79.13
336,Sylhet (10705),1997,12,1/12/1997,25.58,14.92,20.25,18,82.26
337,Sylhet (10705),1998,1,1/1/1998,23.29,12.51,17.9,7,79.13
338,Sylhet (10705),1998,2,1/2/1998,28.33,15.41,21.87,15,72
339,Sylhet (10705),1998,3,1/3/1998,29.21,17.12,23.165,239,71.1
340,Sylhet (10705),1998,4,1/4/1998,30.68,21.36,26.02,548,78.83
341,Sylhet (10705),1998,5,1/5/1998,32.17,23.65,27.91,366,81.13
342,Sylhet (10705),1998,6,1/6/1998,31.2,24.77,27.985,858,89.07
343,Sylhet (10705),1998,7,1/7/1998,30.15,25.02,27.585,1245,93.16
344,Sylhet (10705),1998,8,1/8/1998,31.09,25.35,28.22,665,90.9
345,Sylhet (10705),1998,9,1/9/1998,32.83,25.37,29.1,313,85.83
346,Sylhet (10705),1998,10,1/10/1998,32.86,24.62,28.74,90,83.45
347,Sylhet (10705),1998,11,1/11/1998,30.8,20.7,25.75,42,77.27
348,Sylhet (10705),1998,12,1/12/1998,28.29,15.7,21.995,0,74.39
349,Sylhet (10705),1999,1,1/1/1999,27.35,13.62,20.485,0,72.19
350,Sylhet (10705),1999,2,1/2/1999,31.85,16.46,24.155,0,65.68
351,Sylhet (10705),1999,3,1/3/1999,33.18,19.18,26.18,49,65.39
352,Sylhet (10705),1999,4,1/4/1999,33.24,23.2,28.22,207,76.13
353,Sylhet (10705),1999,5,1/5/1999,31.25,23.3,27.275,731,84
354,Sylhet (10705),1999,6,1/6/1999,32.07,25.15,28.61,472,86.43
355,Sylhet (10705),1999,7,1/7/1999,31.91,25.42,28.665,775,88.16
356,Sylhet (10705),1999,8,1/8/1999,32.05,25.43,28.74,503,87.03
357,Sylhet (10705),1999,9,1/9/1999,31.99,24.95,28.47,253,86.77
358,Sylhet (10705),1999,10,1/10/1999,31.18,23.94,27.56,342,85.65
359,Sylhet (10705),1999,11,1/11/1999,30.34,19.3,24.82,0,77.97
360,Sylhet (10705),1999,12,1/12/1999,27.73,15.42,21.575,0,72.65
361,Sylhet (10705),2000,1,1/1/2000,24.9,13.16,19.03,48,76.48
362,Sylhet (10705),2000,2,1/2/2000,25.46,14,19.73,3,71
363,Sylhet (10705),2000,3,1/3/2000,28.71,18.3,23.505,119,75.16
364,Sylhet (10705),2000,4,1/4/2000,30.33,20.82,25.575,654,81
365,Sylhet (10705),2000,5,1/5/2000,30.17,23.43,26.8,661,85.03
366,Sylhet (10705),2000,6,1/6/2000,31.16,24.76,27.96,794,88.57
367,Sylhet (10705),2000,7,1/7/2000,32.44,25.41,28.925,332,84.23
368,Sylhet (10705),2000,8,1/8/2000,31.16,24.81,27.985,981,88.77
369,Sylhet (10705),2000,9,1/9/2000,30.92,24.47,27.695,733,88.13
370,Sylhet (10705),2000,10,1/10/2000,31.66,23.52,27.59,188,82.97
371,Sylhet (10705),2000,11,1/11/2000,29.35,18.89,24.12,0,77.83
372,Sylhet (10705),2000,12,1/12/2000,26.99,14.75,20.87,0,71.1
373,Sylhet (10705),2001,1,1/1/2001,25.2,12.16,18.68,0,72.48
374,Sylhet (10705),2001,2,1/2/2001,27.73,15.05,21.39,143,70.04
375,Sylhet (10705),2001,3,1/3/2001,31.19,18.99,25.09,42,63.19
376,Sylhet (10705),2001,4,1/4/2001,32.22,21.87,27.045,177,71.8
377,Sylhet (10705),2001,5,1/5/2001,31.54,23.58,27.56,481,82.94
378,Sylhet (10705),2001,6,1/6/2001,31.92,25.19,28.555,729,88.73
379,Sylhet (10705),2001,7,1/7/2001,32.68,25.63,29.155,612,87.71
380,Sylhet (10705),2001,8,1/8/2001,33.18,25.68,29.43,606,86.84
381,Sylhet (10705),2001,9,1/9/2001,32.67,25.36,29.015,347,87.8
382,Sylhet (10705),2001,10,1/10/2001,31.26,23.66,27.46,281,87.74
383,Sylhet (10705),2001,11,1/11/2001,29.19,19.64,24.415,55,84.2
384,Sylhet (10705),2001,12,1/12/2001,26.95,14.45,20.7,0,78.42
385,Sylhet (10705),2002,1,1/1/2002,25.75,14.05,19.9,2,77.81
386,Sylhet (10705),2002,2,1/2/2002,29.79,15.31,22.55,2,70.46
387,Sylhet (10705),2002,3,1/3/2002,31.83,18.45,25.14,78,65.1
388,Sylhet (10705),2002,4,1/4/2002,30.13,20.77,25.45,435,80.23
389,Sylhet (10705),2002,5,1/5/2002,30.45,22.71,26.58,548,83.32
390,Sylhet (10705),2002,6,1/6/2002,31.18,24.79,27.985,701,91.83
391,Sylhet (10705),2002,7,1/7/2002,31.06,25.28,28.17,841,92.39
392,Sylhet (10705),2002,8,1/8/2002,32.47,25.37,28.92,481,88.52
393,Sylhet (10705),2002,9,1/9/2002,33.05,24.92,28.985,380,84.27
394,Sylhet (10705),2002,10,1/10/2002,31.75,22.7,27.225,0,84.55
395,Sylhet (10705),2002,11,1/11/2002,29.53,19.39,24.46,0,80.7
396,Sylhet (10705),2002,12,1/12/2002,26.59,15.43,21.01,0,81.74
397,Sylhet (10705),2003,1,1/1/2003,24.86,12.25,18.555,0,77.36
398,Sylhet (10705),2003,2,1/2/2003,28.77,15.19,21.98,0,68.3
399,Sylhet (10705),2003,3,1/3/2003,29.73,17.82,23.775,170,68.45
400,Sylhet (10705),2003,4,1/4/2003,32.13,21.91,27.02,311,75.16
401,Sylhet (10705),2003,5,1/5/2003,31.92,23.16,27.54,359,79.35
402,Sylhet (10705),2003,6,1/6/2003,30.2,24.71,27.455,1038,88.24
403,Sylhet (10705),2003,7,1/7/2003,32.73,25.94,29.335,497,85.12
404,Sylhet (10705),2003,8,1/8/2003,33.17,25.82,29.495,438,83.87
405,Sylhet (10705),2003,9,1/9/2003,32.66,25.11,28.885,499,86.63
406,Sylhet (10705),2003,10,1/10/2003,31.5,24.19,27.845,237,85.66
407,Sylhet (10705),2003,11,1/11/2003,29.43,18.19,23.81,0,76.64
408,Sylhet (10705),2003,12,1/12/2003,26.68,15.59,21.135,7,73.51
409,Sylhet (10705),2004,1,1/1/2004,25.53,13.56,19.545,1,75.48
410,Sylhet (10705),2004,2,1/2/2004,28.79,14.92,21.855,8,63.36
411,Sylhet (10705),2004,3,1/3/2004,32.51,20.89,26.7,40,66.18
412,Sylhet (10705),2004,4,1/4/2004,28.95,21.06,25.005,622,80.69
413,Sylhet (10705),2004,5,1/5/2004,32.36,24.27,28.315,371,77.74
414,Sylhet (10705),2004,6,1/6/2004,31.67,25,28.335,553,84.32
415,Sylhet (10705),2004,7,1/7/2004,30.65,24.83,27.74,1394,87.83
416,Sylhet (10705),2004,8,1/8/2004,33.39,25.88,29.635,545,82.78
417,Sylhet (10705),2004,9,1/9/2004,30.67,24.8,27.735,478,87.82
418,Sylhet (10705),2004,10,1/10/2004,30.92,22.44,26.68,235,82.9
419,Sylhet (10705),2004,11,1/11/2004,29.61,18.36,23.985,5,74.24
420,Sylhet (10705),2004,12,1/12/2004,27.34,15.52,21.43,12,70.91
421,Sylhet (10705),2005,1,1/1/2005,25.22,12.95,19.085,0,74.92
422,Sylhet (10705),2005,2,1/2/2005,28.57,16.7,22.635,48,70.82
423,Sylhet (10705),2005,3,1/3/2005,29.49,19.65,24.57,388,76.1
424,Sylhet (10705),2005,4,1/4/2005,31.74,21.87,26.805,296,73.08
425,Sylhet (10705),2005,5,1/5/2005,30.05,21.63,25.84,895,81.63
426,Sylhet (10705),2005,6,1/6/2005,32.63,24.94,28.785,354,84.22
427,Sylhet (10705),2005,7,1/7/2005,32.01,25.31,28.66,978,85.99
428,Sylhet (10705),2005,8,1/8/2005,32.05,25.94,28.995,626,87.56
429,Sylhet (10705),2005,9,1/9/2005,33.28,25.69,29.485,319,82.17
430,Sylhet (10705),2005,10,1/10/2005,31.89,23.81,27.85,259,83.2
431,Sylhet (10705),2005,11,1/11/2005,30.06,18.71,24.385,0,75.68
432,Sylhet (10705),2005,12,1/12/2005,28.6,15.69,22.145,0,69.84
433,Sylhet (10705),2006,1,1/1/2006,26.57,13.58,20.075,0,73.51
434,Sylhet (10705),2006,2,1/2/2006,30.07,18.51,24.29,62,70.68
435,Sylhet (10705),2006,3,1/3/2006,33.13,20.04,26.585,16,60.64
436,Sylhet (10705),2006,4,1/4/2006,31.52,21.51,26.515,353,74.01
437,Sylhet (10705),2006,5,1/5/2006,31.81,23.49,27.65,572,77.91
438,Sylhet (10705),2006,6,1/6/2006,31.01,24.54,27.775,1288,87.43
439,Sylhet (10705),2006,7,1/7/2006,32.9,26.29,29.595,436,82.87
440,Sylhet (10705),2006,8,1/8/2006,33.99,25.83,29.91,424,80.87
441,Sylhet (10705),2006,9,1/9/2006,32.32,25.26,28.79,288,83.45
442,Sylhet (10705),2006,10,1/10/2006,32.85,23.59,28.22,72,79.24
443,Sylhet (10705),2006,11,1/11/2006,29.63,19.58,24.605,12,76.8
444,Sylhet (10705),2006,12,1/12/2006,27.54,14.93,21.235,3,73.07
445,Sylhet (10705),2007,1,1/1/2007,25.65,12.27,18.96,0,72.89
446,Sylhet (10705),2007,2,1/2/2007,27.33,15.75,21.54,34,70.33
447,Sylhet (10705),2007,3,1/3/2007,31.43,17.72,24.575,41,60.08
448,Sylhet (10705),2007,4,1/4/2007,30.31,20.86,25.585,481,76.92
449,Sylhet (10705),2007,5,1/5/2007,32.45,24.09,28.27,669,79.74
450,Sylhet (10705),2007,6,1/6/2007,30.73,24.88,27.805,869,87.25
451,Sylhet (10705),2007,7,1/7/2007,31.41,25.55,28.48,786,88.19
452,Sylhet (10705),2007,8,1/8/2007,32.7,25.78,29.24,578,84.77
453,Sylhet (10705),2007,9,1/9/2007,31.96,25.37,28.665,594,84.06
454,Sylhet (10705),2007,10,1/10/2007,31.34,22.85,27.095,142,80.95
455,Sylhet (10705),2007,11,1/11/2007,29.67,19.51,24.59,144,79.05
456,Sylhet (10705),2007,12,1/12/2007,26.31,14.95,20.63,0,78.16
457,Sylhet (10705),2008,1,1/1/2008,24.47,14.38,19.425,19,78.27
458,Sylhet (10705),2008,2,1/2/2008,26.18,13.96,20.07,35,68.63
459,Sylhet (10705),2008,3,1/3/2008,29.93,19.2,24.565,165,73.63
460,Sylhet (10705),2008,4,1/4/2008,33.12,22.41,27.765,162,72.1
461,Sylhet (10705),2008,5,1/5/2008,32.6,23.53,28.065,501,78.01
462,Sylhet (10705),2008,6,1/6/2008,31.85,24.8,28.325,648,86.48
463,Sylhet (10705),2008,7,1/7/2008,31.98,25.48,28.73,604,87.53
464,Sylhet (10705),2008,8,1/8/2008,31.46,25.24,28.35,761,88.86
465,Sylhet (10705),2008,9,1/9/2008,32.79,25.14,28.965,264,83.37
466,Sylhet (10705),2008,10,1/10/2008,31.56,22.99,27.275,192,82.38
467,Sylhet (10705),2008,11,1/11/2008,29.94,18.04,23.99,0,72.27
468,Sylhet (10705),2008,12,1/12/2008,27.44,16.54,21.99,0,79.46
469,Sylhet (10705),2009,1,1/1/2009,26.6,14.35,20.475,0,74.97
470,Sylhet (10705),2009,2,1/2/2009,30.51,15.71,23.11,20,64.43
471,Sylhet (10705),2009,3,1/3/2009,32.63,19.67,26.15,63,59.81
472,Sylhet (10705),2009,4,1/4/2009,32.49,22.75,27.62,427,74.2
473,Sylhet (10705),2009,5,1/5/2009,32.53,23.25,27.89,576,78.19
474,Sylhet (10705),2009,6,1/6/2009,32.16,24.91,28.535,469,84.53
475,Sylhet (10705),2009,7,1/7/2009,33.04,26.06,29.55,599,83.29
476,Sylhet (10705),2009,8,1/8/2009,32.13,25.64,28.885,674,87.32
477,Sylhet (10705),2009,9,1/9/2009,33.19,25.49,29.34,323,82.1
478,Sylhet (10705),2009,10,1/10/2009,32.72,23.22,27.97,136,80.94
479,Sylhet (10705),2009,11,1/11/2009,29.96,19.59,24.775,0,76.17
480,Sylhet (10705),2009,12,1/12/2009,27.08,14.85,20.965,0,76.9
481,Sylhet (10705),2010,1,1/1/2010,27.29,12.81,20.05,0,73.81
482,Sylhet (10705),2010,2,1/2/2010,29.52,14.83,22.175,1,59.79
483,Sylhet (10705),2010,3,1/3/2010,33.1,20.61,26.855,147,61.74
484,Sylhet (10705),2010,4,1/4/2010,30.54,21.65,26.095,804,79.6
485,Sylhet (10705),2010,5,1/5/2010,30.97,23.18,27.075,728,82.35
486,Sylhet (10705),2010,6,1/6/2010,30.49,24.54,27.515,946,89.3
487,Sylhet (10705),2010,7,1/7/2010,32.85,25.92,29.385,528,85.1
488,Sylhet (10705),2010,8,1/8/2010,32.94,25.83,29.385,767,86.68
489,Sylhet (10705),2010,9,1/9/2010,31.88,25.02,28.45,732,87.3
490,Sylhet (10705),2010,10,1/10/2010,32.83,24.16,28.495,231,79.03
491,Sylhet (10705),2010,11,1/11/2010,30.48,20.06,25.27,10,75.4
492,Sylhet (10705),2010,12,1/12/2010,26.9,15.06,20.98,45,74.16
493,Sylhet (10705),2011,1,1/1/2011,24.08,12.03,18.055,0,77.45
494,Sylhet (10705),2011,2,1/2/2011,29.25,15.46,22.355,3,64.96
495,Sylhet (10705),2011,3,1/3/2011,31.37,19.32,25.345,99,64.74
496,Sylhet (10705),2011,4,1/4/2011,33.23,22.09,27.66,78,69.1
497,Sylhet (10705),2011,5,1/5/2011,31.75,23.25,27.5,403,80.74
498,Sylhet (10705),2011,6,1/6/2011,32.55,25.31,28.93,578,85.07
499,Sylhet (10705),2011,7,1/7/2011,32.49,25.7,29.095,673,86.39
500,Sylhet (10705),2011,8,1/8/2011,32.56,25.56,29.06,722,85.39
501,Sylhet (10705),2011,9,1/9/2011,33.64,25.54,29.59,490,82.83
502,Sylhet (10705),2011,10,1/10/2011,33.49,23.64,28.565,55,77.61
503,Sylhet (10705),2011,11,1/11/2011,29.82,17.83,23.825,0,72.87
504,Sylhet (10705),2011,12,1/12/2011,27.71,15.27,21.49,0,75.19
505,Sylhet (10705),2012,1,1/1/2012,24.79,13.19,18.99,10,76.39
506,Sylhet (10705),2012,2,1/2/2012,29.29,14.27,21.78,0,60.86
507,Sylhet (10705),2012,3,1/3/2012,32.35,20.15,26.25,101,63.13
508,Sylhet (10705),2012,4,1/4/2012,30.3,20.59,25.445,659,77.9
509,Sylhet (10705),2012,5,1/5/2012,32.95,23.55,28.25,406,77.19
510,Sylhet (10705),2012,6,1/6/2012,30.88,24.58,27.73,1185,88.13
511,Sylhet (10705),2012,7,1/7/2012,33.12,26.03,29.575,700,84.68
512,Sylhet (10705),2012,8,1/8/2012,32.95,25.71,29.33,738,84.74
513,Sylhet (10705),2012,9,1/9/2012,32.55,25.69,29.12,261,84.5
514,Sylhet (10705),2012,10,1/10/2012,31.84,22.75,27.295,502,81.32
515,Sylhet (10705),2012,11,1/11/2012,29.15,18.9,24.025,48,77.6
516,Sylhet (10705),2012,12,1/12/2012,24.7,14.5,19.6,0,82.87
517,Sylhet (10705),2013,1,1/1/2013,25.6,11.64,18.62,0,74.26
518,Sylhet (10705),2013,2,1/2/2013,31.24,15.91,23.575,7,62.75
519,Sylhet (10705),2013,3,1/3/2013,34.21,19.72,26.965,16,60.29
520,Sylhet (10705),2013,4,1/4/2013,32.98,21.86,27.42,229,69.33
521,Sylhet (10705),2013,5,1/5/2013,30.45,22.69,26.57,959,83.58
522,Sylhet (10705),2013,6,1/6/2013,34.06,25.79,29.925,729,81.17
523,Sylhet (10705),2013,7,1/7/2013,33.21,25.77,29.49,567,83.84
524,Sylhet (10705),2013,8,1/8/2013,32.58,25.6,29.09,520,85.26
525,Sylhet (10705),2013,9,1/9/2013,32.83,25.29,29.06,347,83.63
526,Sylhet (10705),2013,10,1/10/2013,31.47,23.1,27.285,451,81.13
527,Sylhet (10705),2013,11,1/11/2013,30.1,17.35,23.725,0,74.1
528,Sylhet (10705),2013,12,1/12/2013,26.2,14.57,20.385,0,75.87
529,Sylhet (10705),2014,1,1/1/2014,27.15,13.09,20.12,0,75.55
530,Sylhet (10705),2014,2,1/2/2014,27.37,14.11,20.74,34,73.57
531,Sylhet (10705),2014,3,1/3/2014,32.41,18.06,25.235,78,62.32
532,Sylhet (10705),2014,4,1/4/2014,34.95,21.91,28.43,118,63.47
533,Sylhet (10705),2014,5,1/5/2014,32.37,23.26,27.815,540,79.35
534,Sylhet (10705),2014,6,1/6/2014,32.08,25.49,28.785,724,86.6
535,Sylhet (10705),2014,7,1/7/2014,34.19,25.95,30.07,316,81.81
536,Sylhet (10705),2014,8,1/8/2014,32.47,25.53,29,797,86.81
537,Sylhet (10705),2014,9,1/9/2014,32.23,24.94,28.585,732,85.83
538,Sylhet (10705),2014,10,1/10/2014,33.12,23.09,28.105,33,77.87
539,Sylhet (10705),2014,11,1/11/2014,31.22,18.93,25.075,0,74.27
540,Sylhet (10705),2014,12,1/12/2014,27.85,15.23,21.54,0,77.03
541,Sylhet (10705),2015,1,1/1/2015,27.22,14.76,20.99,16,75.26
542,Sylhet (10705),2015,2,1/2/2015,28.75,15.05,21.9,40,68.25
543,Sylhet (10705),2015,3,1/3/2015,33.08,18.74,25.91,28,62.77
544,Sylhet (10705),2015,4,1/4/2015,30.55,20.91,25.73,539,78.4
545,Sylhet (10705),2015,5,1/5/2015,31.24,22.68,26.96,747,82.48
546,Sylhet (10705),2015,6,1/6/2015,32.08,25.11,28.595,857,86.93
547,Sylhet (10705),2015,7,1/7/2015,32.59,25.89,29.24,644,83.29
548,Sylhet (10705),2015,8,1/8/2015,31.99,25.52,28.755,754,88.1
549,Sylhet (10705),2015,9,1/9/2015,32.66,25.26,28.96,832,86.07
550,Sylhet (10705),2015,10,1/10/2015,32.96,23.41,28.185,53,77.23
551,Sylhet (10705),2015,11,1/11/2015,30.58,18.99,24.785,4,73.77
552,Sylhet (10705),2015,12,1/12/2015,26.07,14.73,20.4,7,76.77
553,Sylhet (10705),2016,1,1/1/2016,24.6,13.43,19.015,11,77.71
554,Sylhet (10705),2016,2,1/2/2016,29.1,17.62,23.36,28,71.72
555,Sylhet (10705),2016,3,1/3/2016,32.04,20.48,26.26,134,68.23
556,Sylhet (10705),2016,4,1/4/2016,31,21.63,26.315,1004,81.07
557,Sylhet (10705),2016,5,1/5/2016,31.25,23.17,27.21,703,81.52
558,Sylhet (10705),2016,6,1/6/2016,33.15,25.5,29.325,657,83.4
559,Sylhet (10705),2016,7,1/7/2016,32.59,25.74,29.165,531,86.97
560,Sylhet (10705),2016,8,1/8/2016,34.32,26.21,30.265,396,81.58
561,Sylhet (10705),2016,9,1/9/2016,33.29,25.48,29.385,561,84.27
562,Sylhet (10705),2016,10,1/10/2016,33.18,24.45,28.815,158,80.94
563,Sylhet (10705),2016,11,1/11/2016,29.59,19.34,24.465,108,77.9
564,Sylhet (10705),2016,12,1/12/2016,28.62,16.31,22.465,5,73.42
565,Sylhet (10705),2017,1,1/1/2017,27.75,14.23,20.99,0,71.48
566,Sylhet (10705),2017,2,1/2/2017,29.65,16.18,22.915,137,65
567,Sylhet (10705),2017,3,1/3/2017,28.06,18.26,23.16,344,74.39
568,Sylhet (10705),2017,4,1/4/2017,29.75,21.04,25.395,874,81.43
569,Sylhet (10705),2017,5,1/5/2017,32.83,23.21,28.02,629,78.26
570,Sylhet (10705),2017,6,1/6/2017,31.36,24.96,28.16,1047,87.23
571,Sylhet (10705),2017,7,1/7/2017,32.68,25.78,29.23,774,85.74
572,Sylhet (10705),2017,8,1/8/2017,32.4,25.54,28.97,1155,88.16
573,Sylhet (10705),2017,9,1/9/2017,32.28,25.64,28.96,571,87.63
574,Sylhet (10705),2017,10,1/10/2017,32.05,23.55,27.8,318,83.55
575,Sylhet (10705),2017,11,1/11/2017,30.78,19.45,25.115,3,77.03
576,Sylhet (10705),2017,12,1/12/2017,27.03,16.6,21.815,92,78.74
577,Sylhet (10705),2018,1,1/1/2018,24.81,13.48,19.145,0,81.13
578,Sylhet (10705),2018,2,1/2/2018,28.5,16.32,22.41,39,71.14
579,Sylhet (10705),2018,3,1/3/2018,31.51,19.59,25.55,94,67.39
580,Sylhet (10705),2018,4,1/4/2018,30.99,21.1,26.045,330,75.57
581,Sylhet (10705),2018,5,1/5/2018,30.42,22.59,26.505,583,83.39
582,Sylhet (10705),2018,6,1/6/2018,32.65,24.96,28.805,789,84.3
583,Sylhet (10705),2018,7,1/7/2018,33.36,25.95,29.655,677,85.61
584,Sylhet (10705),2018,8,1/8/2018,33.87,25.7,29.785,410,83.68
585,Sylhet (10705),2018,9,1/9/2018,32.9,25.44,29.17,452,85
586,Sylhet (10705),2018,10,1/10/2018,31.21,22.27,26.74,139,81.16
587,Sylhet (10705),2018,11,1/11/2018,29.56,18.3,23.93,39,77.37
588,Sylhet (10705),2018,12,1/12/2018,27,15.21,21.105,29,76.39
589,Sylhet (10705),2019,1,1/1/2019,27.85,13.8,20.825,0,69.97
590,Sylhet (10705),2019,2,1/2/2019,28.33,15.7,22.015,29,69.43
591,Sylhet (10705),2019,3,1/3/2019,31.06,19.06,25.06,39,66
592,Sylhet (10705),2019,4,1/4/2019,32.49,21.37,26.93,349,72.17
593,Sylhet (10705),2019,5,1/5/2019,32.33,22.95,27.64,653,80.94
594,Sylhet (10705),2019,6,1/6/2019,32.76,25.45,29.105,789,85.3
595,Sylhet (10705),2019,7,1/7/2019,32.39,25.71,29.05,697,86.84
596,Sylhet (10705),2019,8,1/8/2019,34.38,26.37,30.375,446,82.13
597,Sylhet (10705),2019,9,1/9/2019,33.24,25.55,29.395,309,84.37
598,Sylhet (10705),2019,10,1/10/2019,31.55,23.37,27.46,348,83.16
599,Sylhet (10705),2019,11,1/11/2019,30.14,19.82,24.98,9,79.6
600,Sylhet (10705),2019,12,1/12/2019,26.15,14.93,20.54,0,76.19
601,Sylhet (10705),2020,1,1/1/2020,24.71,13.68,19.195,18,78.87
602,Sylhet (10705),2020,2,1/2/2020,28.12,15.14,21.63,3,67.76
603,Sylhet (10705),2020,3,1/3/2020,31.88,18.75,25.315,23,63.23
604,Sylhet (10705),2020,4,1/4/2020,32.84,21.17,27.005,244,67.3
605,Sylhet (10705),2020,5,1/5/2020,31.56,23.03,27.295,640,81.29
606,Sylhet (10705),2020,6,1/6/2020,32.14,25.3,28.72,651,88
607,Sylhet (10705),2020,7,1/7/2020,31.9,25.78,28.84,990,88.81
608,Sylhet (10705),2020,8,1/8/2020,33.72,26.45,30.085,382,85.16
609,Sylhet (10705),2020,9,1/9/2020,31.98,25.68,28.83,883,87.8
610,Sylhet (10705),2020,10,1/10/2020,32.67,25.14,28.905,382,84.26
611,Sylhet (10705),2020,11,1/11/2020,30.31,19.51,24.91,12,74.33
612,Sylhet (10705),2020,12,1/12/2020,26.62,14.89,20.755,0,78.32
613,Sylhet (10705),2021,1,1/1/2021,26.56,14.19,20.375,0,76.97
614,Sylhet (10705),2021,2,1/2/2021,29.59,15.23,22.41,0,65.93
615,Sylhet (10705),2021,3,1/3/2021,33.27,20.51,26.89,127,60.74
616,Sylhet (10705),2021,4,1/4/2021,33.84,22.14,27.99,143,67.67
617,Sylhet (10705),2021,5,1/5/2021,33.07,23.78,28.425,290,77.77
618,Sylhet (10705),2021,6,1/6/2021,32.15,25.34,28.745,664,87.77
619,Sylhet (10705),2021,7,1/7/2021,32.98,25.84,29.41,703,86
620,Sylhet (10705),2021,8,1/8/2021,31.84,25.39,28.615,928,89.23
621,Sylhet (10705),2021,9,1/9/2021,34.56,25.96,30.26,200,79.5
622,Sylhet (10705),2021,10,1/10/2021,33.54,24.56,29.05,240,80.74
623,Sylhet (10705),2021,11,1/11/2021,30.41,18.49,24.45,0,74.13
624,Sylhet (10705),2021,12,1/12/2021,27.33,15.91,21.62,14,76.48
625,Sylhet (10705),2022,1,1/1/2022,25.9,14.45,20.175,16,74.74
626,Sylhet (10705),2022,2,1/2/2022,26.68,13.97,20.325,24,68.96
627,Sylhet (10705),2022,3,1/3/2022,33.54,20.17,26.855,79,66.06
628,Sylhet (10705),2022,4,1/4/2022,32.06,22.23,27.145,287,79.9
629,Sylhet (10705),2022,5,1/5/2022,31.13,23.32,27.225,902,82.39
630,Sylhet (10705),2022,6,1/6/2022,29.85,24.54,27.195,1485,89.87
631,Sylhet (10705),2022,7,1/7/2022,34.02,25.87,29.945,778,82.55
632,Sylhet (10705),2022,8,1/8/2022,34.3,26.2,30.25,461,80.58
633,Sylhet (10705),2022,9,1/9/2022,33.28,25.57,29.425,744,84.63
634,Sylhet (10705),2022,10,1/10/2022,32.11,23.47,27.79,334,82.29
635,Sylhet (10705),2022,11,1/11/2022,31.32,19.55,25.435,0,73.53
636,Sylhet (10705),2022,12,1/12/2022,27.34,16.57,21.955,8,76.68
